Name,Age,Overall Rating,Potential,Team,Contract expiry,Height,Weight,Strong foot,Value,Full Name,date,year
F. Mubele,22,73,78,Stade Rennais FC,2017 ~ 2020,178cm,71kg,Right,€4M,Firmin Ndombe Mubele,"Sep 20, 2017",FIFA 17
R. Genevois,28,73,73,Stade Malherbe Caen,2016 ~ 2019,182cm,75kg,Right,€2.3M,Romain Genevois,"Sep 20, 2017",FIFA 17
J. Adéoti,27,73,74,Stade Malherbe Caen,2014 ~ 2017,183cm,81kg,Right,€2.7M,Jordan Adéoti,"Sep 20, 2017",FIFA 17
F. Guilbert,21,73,82,Stade Malherbe Caen,"Jun 30, 2017 On Loan",178cm,70kg,Right,€3.9M,Frédéric Guilbert,"Sep 20, 2017",FIFA 17
A. Mvuemba,31,73,73,FC Lorient,2016 ~ 2018,172cm,67kg,Right,€2.4M,Arnold Mvuemba,"Sep 20, 2017",FIFA 17
W. Mesloub,30,73,73,FC Lorient,2014 ~ 2018,180cm,69kg,Right,€2.6M,Walid Mesloub,"Sep 20, 2017",FIFA 17
V. Le Goff,26,73,74,FC Lorient,2014 ~ 2018,176cm,74kg,Left,€2.7M,Vincent Le Goff,"Sep 20, 2017",FIFA 17
R. Philippoteaux,28,73,73,FC Lorient,2015 ~ 2019,170cm,67kg,Right,€2.8M,Romain Philippoteaux,"Sep 20, 2017",FIFA 17
J. Cabot,22,73,79,FC Lorient,2016 ~ 2020,164cm,60kg,Right,€3.9M,Jimmy Cabot,"Sep 20, 2017",FIFA 17
K. Rekik,21,73,79,Olympique de Marseille,2015 ~ 2019,186cm,79kg,Left,€3.4M,Karim Rekik,"Sep 20, 2017",FIFA 17
C. Njie,22,73,78,Olympique de Marseille,"Jun 30, 2017 On Loan",175cm,68kg,Right,€4M,Clinton Njie,"Sep 20, 2017",FIFA 17
M. Michel,24,73,78,Angers SCO,2016 ~ 2019,188cm,82kg,Right,€3.3M,Mathieu Michel,"Sep 20, 2017",FIFA 17
F. Moubandje,26,73,74,Toulouse Football Club,2013 ~ 2019,180cm,74kg,Left,€2.7M,François Moubandje,"Sep 20, 2017",FIFA 17
C. Jean,20,73,85,Toulouse Football Club,"Jun 30, 2017 On Loan",170cm,65kg,Right,€5M,Corentin Jean,"Sep 20, 2017",FIFA 17
K. Monnet-Paquet,27,73,73,AS Saint-Étienne,2014 ~ 2018,184cm,81kg,Right,€3M,Kévin Monnet-Paquet,"Sep 20, 2017",FIFA 17
K. Malcuit,24,73,76,AS Saint-Étienne,2015 ~ 2019,180cm,76kg,Right,€3.1M,Kévin Malcuit,"Sep 20, 2017",FIFA 17
O. Selnæs,21,73,77,AS Saint-Étienne,2016 ~ 2020,187cm,77kg,Left,€3.2M,Ole Kristian Selnæs,"Sep 20, 2017",FIFA 17
F. Balmont,36,73,73,Dijon FCO,2016 ~ 2018,168cm,72kg,Right,€240K,Florent Balmont,"Sep 20, 2017",FIFA 17
P. Lees-Melou,23,73,78,Dijon FCO,2015 ~ 2019,185cm,67kg,Right,€3.9M,Pierre Lees-Melou,"Sep 20, 2017",FIFA 17
T. Sippel,28,73,73,Borussia Mönchengladbach,2015 ~ 2018,183cm,78kg,Right,€2.5M,Tobias Sippel,"Sep 20, 2017",FIFA 17
Torrejón,30,73,73,Sport-Club Freiburg,2014 ~ 2017,187cm,88kg,Right,€2.1M,Marc Torrejón Moya,"Sep 20, 2017",FIFA 17
M. Frantz,29,73,73,Sport-Club Freiburg,2014 ~ 2020,182cm,80kg,Left,€2.7M,Mike Frantz,"Sep 20, 2017",FIFA 17
M. Kempf,21,73,81,Sport-Club Freiburg,2014 ~ 2018,186cm,87kg,Left,€3.7M,Marc-Oliver Kempf,"Sep 20, 2017",FIFA 17
A. Rudņevs,28,73,73,1. FC Köln,2016 ~ 2019,183cm,81kg,Right,€2.9M,Artjoms Rudņevs,"Sep 20, 2017",FIFA 17
P. Olkowski,26,73,74,1. FC Köln,2014 ~ 2019,184cm,76kg,Right,€2.7M,Paweł Olkowski,"Sep 20, 2017",FIFA 17
A. Jóhannsson,25,73,76,SV Werder Bremen,2015 ~ 2019,184cm,70kg,Right,€3.7M,Aron Jóhannsson,"Sep 20, 2017",FIFA 17
R. Bauer,21,73,78,SV Werder Bremen,2016 ~ 2020,183cm,76kg,Right,€3.3M,Robert Bauer,"Sep 20, 2017",FIFA 17
F. Grillitsch,20,73,80,SV Werder Bremen,2013 ~ 2017,187cm,74kg,Right,€4M,Florian Grillitsch,"Sep 20, 2017",FIFA 17
S. Allagui,30,73,73,Hertha BSC,2012 ~ 2017,184cm,77kg,Right,€2.6M,Sami Allagui,"Sep 20, 2017",FIFA 17
O. Duda,21,73,81,Hertha BSC,2016 ~ 2021,181cm,74kg,Right,€4.3M,Ondrej Duda,"Sep 20, 2017",FIFA 17
André Ramalho,24,73,77,1. FSV Mainz 05,"Jun 30, 2017 On Loan",182cm,78kg,Right,€3.2M,André Ramalho Silva,"Sep 20, 2017",FIFA 17
Borja Mayoral,19,73,85,VfL Wolfsburg,"Jun 30, 2017 On Loan",181cm,68kg,Right,€4.8M,Borja Mayoral Moya,"Sep 20, 2017",FIFA 17
M. Gaćinović,21,73,81,Eintracht Frankfurt,2015 ~ 2021,175cm,66kg,Right,€4.2M,Mijat Gaćinović,"Sep 20, 2017",FIFA 17
H. Altıntop,33,73,73,SV Darmstadt 98,2017 ~ 2018,183cm,82kg,Right,€1.3M,Hamit Altıntop,"Sep 20, 2017",FIFA 17
M. Esser,28,73,74,SV Darmstadt 98,2016 ~ 2018,198cm,99kg,Right,€2.8M,Michael Esser,"Sep 20, 2017",FIFA 17
A. Fedetskyi,31,73,73,SV Darmstadt 98,2016 ~ 2017,183cm,76kg,Right,€1.8M,Artem Fedetskyi,"Sep 20, 2017",FIFA 17
M. Hansen,26,73,76,FC Ingolstadt 04,2016 ~ 2020,188cm,87kg,Right,€3M,Martin Hansen,"Sep 20, 2017",FIFA 17
Ø. Nyland,25,73,77,FC Ingolstadt 04,2015 ~ 2019,192cm,90kg,Right,€3.1M,Ørjan Nyland,"Sep 20, 2017",FIFA 17
A. Cohen,27,73,73,FC Ingolstadt 04,2013 ~ 2018,170cm,71kg,Right,€2.4M,Almog Cohen,"Sep 20, 2017",FIFA 17
L. Hinterseer,25,73,76,FC Ingolstadt 04,2014 ~ 2017,192cm,86kg,Right,€3.7M,Lukas Hinterseer,"Sep 20, 2017",FIFA 17
M. Tisserand,23,73,79,FC Ingolstadt 04,2016 ~ 2020,188cm,75kg,Right,€3.4M,Marcel Tisserand,"Sep 20, 2017",FIFA 17
D. Kaiser,27,73,73,RB Leipzig,2012 ~ 2018,171cm,67kg,Right,€2.9M,Dominik Kaiser,"Sep 20, 2017",FIFA 17
R. Freuler,24,73,78,Atalanta,2016 ~ 2019,181cm,77kg,Right,€3.8M,Remo Freuler,"Sep 20, 2017",FIFA 17
A. Petagna,21,73,82,Atalanta,2016 ~ 2020,188cm,85kg,Left,€4.6M,Andrea Petagna,"Sep 20, 2017",FIFA 17
C. Molinaro,32,73,73,Torino F.C.,2014 ~ 2021,182cm,82kg,Left,€1.6M,Cristian Molinaro,"Sep 20, 2017",FIFA 17
J. Obi,25,73,76,Torino F.C.,2015 ~ 2019,176cm,71kg,Left,€3.5M,Joel Obi,"Sep 20, 2017",FIFA 17
A. Acquah,24,73,77,Torino F.C.,2015 ~ 2019,179cm,70kg,Right,€3.7M,Afriyie Acquah,"Sep 20, 2017",FIFA 17
Danilo Avelar,27,73,73,Torino F.C.,2015 ~ 2019,185cm,79kg,Left,€2.3M,Danilo Fernando Avelar,"Sep 20, 2017",FIFA 17
Samir,21,73,80,Udinese Calcio,2016 ~ 2022,188cm,81kg,Left,€3.5M,Samir Caetano de Souza Santos,"Sep 20, 2017",FIFA 17
S. Perica,20,73,80,Udinese Calcio,2013 ~ 2022,192cm,76kg,Right,€4.2M,Stipe Perica,"Sep 20, 2017",FIFA 17
A. Adnan,22,73,79,Udinese Calcio,2015 ~ 2020,185cm,71kg,Left,€3.4M,Ali Adnan,"Sep 20, 2017",FIFA 17
E. Pulgar,22,73,79,Bologna,2015 ~ 2019,186cm,83kg,Right,€3.4M,Erick Pulgar,"Sep 20, 2017",FIFA 17
F. Di Francesco,22,73,81,Bologna,2016 ~ 2020,178cm,75kg,Right,€4.3M,Federico Di Francesco,"Sep 20, 2017",FIFA 17
N. Frey,32,73,73,Chievo Verona,2008 ~ 2018,184cm,78kg,Right,€1.6M,Nicolas Frey,"Sep 20, 2017",FIFA 17
N. Rigoni,25,73,76,Chievo Verona,2012 ~ 2018,187cm,84kg,Right,€3.5M,Nicola Rigoni,"Sep 20, 2017",FIFA 17
G. Caprari,22,73,80,Pescara,"Jun 30, 2017 On Loan",171cm,71kg,Right,€4.1M,Gianluca Caprari,"Sep 20, 2017",FIFA 17
A. Cubas,20,73,83,Pescara,"Jun 30, 2017 On Loan",169cm,60kg,Right,€4.1M,Andrés Cubas,"Sep 20, 2017",FIFA 17
M. Pasqual,34,73,73,Empoli,2016 ~ 2018,178cm,71kg,Left,€825K,Manuel Pasqual,"Sep 20, 2017",FIFA 17
L. Mchedlidze,26,73,74,Empoli,2008 ~ 2018,190cm,85kg,Left,€3.4M,Levan Mchedlidze,"Sep 20, 2017",FIFA 17
M. Pucciarelli,25,73,76,Empoli,2011 ~ 2020,174cm,63kg,Right,€3.7M,Manuel Pucciarelli,"Sep 20, 2017",FIFA 17
V. Laurini,27,73,73,Empoli,2012 ~ 2018,173cm,72kg,Right,€2.3M,Vincent Laurini,"Sep 20, 2017",FIFA 17
Dodô,24,73,76,U.C. Sampdoria,"Jun 30, 2018 On Loan",177cm,75kg,Left,€3.6M,José Rodolfo Pires Ribeiro,"Sep 20, 2017",FIFA 17
J. Sala,24,73,78,U.C. Sampdoria,2016 ~ 2020,184cm,75kg,Right,€3.3M,Jacopo Sala,"Sep 20, 2017",FIFA 17
B. Bereszyński,23,73,76,U.C. Sampdoria,2017 ~ 2021,183cm,77kg,Right,€3.1M,Bartosz Bereszyński,"Sep 20, 2017",FIFA 17
Diego Farías,26,73,74,Cagliari,2014 ~ 2021,173cm,66kg,Right,€3.4M,Diego Farías da Silva,"Sep 20, 2017",FIFA 17
João Pedro,24,73,78,Cagliari,2014 ~ 2021,184cm,73kg,Right,€3.9M,João Pedro G. Santos Galvão,"Sep 20, 2017",FIFA 17
F. Melchiorri,29,73,73,Cagliari,2015 ~ 2019,185cm,76kg,Right,€2.8M,Federico Melchiorri,"Sep 20, 2017",FIFA 17
R. Vitiello,33,73,73,Palermo,2014 ~ 2017,176cm,72kg,Right,€1.3M,Roberto Vitiello,"Sep 20, 2017",FIFA 17
M. Jajalo,28,73,73,Palermo,2015 ~ 2019,180cm,80kg,Right,€2.8M,Mato Jajalo,"Sep 20, 2017",FIFA 17
I. Nestorovski,26,73,74,Palermo,2016 ~ 2019,182cm,76kg,Left,€3.4M,Ilja Nestorovski,"Sep 20, 2017",FIFA 17
F. Chiesa,18,73,86,Fiorentina,2016 ~ 2021,175cm,70kg,Right,€4.7M,Federico Chiesa,"Sep 20, 2017",FIFA 17
Rubinho,33,73,73,Genoa,2017 ~ 2020,184cm,90kg,Right,€2.1M,Rubens Fernando Moedim,"Sep 20, 2017",FIFA 17
R. Palladino,32,73,73,Genoa,2017 ~ 2018,182cm,73kg,Right,€2.3M,Raffaele Palladino,"Sep 20, 2017",FIFA 17
E. Muñoz,25,73,77,Genoa,2015 ~ 2019,185cm,82kg,Right,€3.1M,Ezequiel Muñoz,"Sep 20, 2017",FIFA 17
O. Hiljemark,24,73,78,Genoa,"Jun 30, 2017 On Loan",184cm,78kg,Right,€3.8M,Oscar Hiljemark,"Sep 20, 2017",FIFA 17
L. Crisetig,23,73,77,Crotone,"Jun 30, 2017 On Loan",183cm,80kg,Left,€3.7M,Lorenzo Crisetig,"Sep 20, 2017",FIFA 17
Claiton,31,73,73,Crotone,2014 ~ 2018,186cm,78kg,Left,€1.9M,Claiton Machado dos Santos,"Sep 20, 2017",FIFA 17
M. Gazzola,31,73,73,U.S. Sassuolo Calcio,2012 ~ 2018,183cm,78kg,Right,€1.8M,Marcello Gazzola,"Sep 20, 2017",FIFA 17
L. Mazzitelli,20,73,80,U.S. Sassuolo Calcio,2016 ~ 2018,184cm,76kg,Right,€3.5M,Luca Mazzitelli,"Sep 20, 2017",FIFA 17
S. Sensi,20,73,81,U.S. Sassuolo Calcio,2016 ~ 2020,168cm,62kg,Right,€3.7M,Stefano Sensi,"Sep 20, 2017",FIFA 17
Marlon Santos,20,73,83,FC Barcelona,"Jun 30, 2017 On Loan",185cm,81kg,Right,€4.1M,Marlon da Silva Barbosa,"Sep 20, 2017",FIFA 17
P. Tytoń,29,73,73,Deportivo de La Coruña,2016 ~ 2019,194cm,85kg,Right,€2.5M,Przemysław Tytoń,"Sep 20, 2017",FIFA 17
Laure,31,73,73,Deportivo de La Coruña,2008 ~ 2018,166cm,68kg,Right,€1.8M,Laureano Sanabria Ruiz,"Sep 20, 2017",FIFA 17
Alex Bergantiños,31,73,73,Deportivo de La Coruña,2011 ~ 2018,177cm,73kg,Right,€1.9M,Alejandro Bergantiños García,"Sep 20, 2017",FIFA 17
R. Donk,30,73,73,Real Betis Balompié,"Jun 30, 2017 On Loan",192cm,80kg,Right,€2.1M,Ryan Donk,"Sep 20, 2017",FIFA 17
Alex Martínez,25,73,74,Real Betis Balompié,2010 ~ 2017,176cm,64kg,Left,€2.7M,Alejandro Martínez Sánchez,"Sep 20, 2017",FIFA 17
R. Durmisi,22,73,80,Real Betis Balompié,2016 ~ 2021,168cm,68kg,Left,€3.5M,Riza Durmisi,"Sep 20, 2017",FIFA 17
D. Brasanac,24,73,78,Real Betis Balompié,2016 ~ 2020,178cm,72kg,Right,€3.8M,Darko Brasanac,"Sep 20, 2017",FIFA 17
Álvaro,25,73,76,RCD Espanyol de Barcelona,2016 ~ 2020,182cm,78kg,Right,€3.7M,Álvaro Vázquez García,"Sep 20, 2017",FIFA 17
Aarón Martín,19,73,81,RCD Espanyol de Barcelona,2015 ~ 2022,180cm,72kg,Left,€3.2M,Aarón Martín Caricol,"Sep 20, 2017",FIFA 17
Markel Bergara,30,73,73,Real Sociedad,2007 ~ 2019,181cm,78kg,Right,€2.6M,Markel Bergara Larrañaga,"Sep 20, 2017",FIFA 17
Zaldúa,24,73,78,Real Sociedad,2013 ~ 2020,176cm,71kg,Right,€3.3M,Joseba Zaldúa Bengoetxea,"Sep 20, 2017",FIFA 17
Lora,29,73,73,Real Sporting de Gijón,2007 ~ 2018,168cm,67kg,Right,€2.1M,Alberto Lora Ramos,"Sep 20, 2017",FIFA 17
Nacho Cases,28,73,73,Real Sporting de Gijón,2011 ~ 2018,175cm,66kg,Left,€2.3M,Ignacio Cases Mora,"Sep 20, 2017",FIFA 17
Z. Bakkali,20,73,80,Valencia CF,2015 ~ 2020,164cm,60kg,Right,€4.1M,Zakaria Bakkali,"Sep 20, 2017",FIFA 17
C. Santos,28,73,73,Deportivo Alavés,2016 ~ 2019,184cm,70kg,Left,€2.9M,Christian Santos,"Sep 20, 2017",FIFA 17
Rodrigo Ely,22,73,78,Deportivo Alavés,"Jun 30, 2017 On Loan",192cm,82kg,Right,€3.3M,Rodrigo Ely,"Sep 20, 2017",FIFA 17
Arbilla,29,73,73,SD Eibar,2016 ~ 2018,177cm,75kg,Right,€2.1M,Anaitz Arbilla Zabala,"Sep 20, 2017",FIFA 17
Rubén Peña,24,73,76,SD Eibar,2016 ~ 2019,170cm,65kg,Right,€3.8M,Rubén Peña Jiménez,"Sep 20, 2017",FIFA 17
Momo,33,73,73,Unión Deportiva Las Palmas,2012 ~ 2018,180cm,70kg,Left,€1.8M,Jerónimo Figueroa Cabrera,"Sep 20, 2017",FIFA 17
Javi Castellano,28,73,73,Unión Deportiva Las Palmas,2011 ~ 2018,180cm,71kg,Right,€2.3M,Javier Castellano Betancor,"Sep 20, 2017",FIFA 17
Raúl Lizoain,25,73,75,Unión Deportiva Las Palmas,2012 ~ 2019,188cm,80kg,Left,€2.9M,Raúl Lizoain Cruz,"Sep 20, 2017",FIFA 17
De las Cuevas,30,73,73,CA Osasuna,2016 ~ 2018,175cm,69kg,Right,€2.6M,Miguel Ángel De las Cuevas,"Sep 20, 2017",FIFA 17
Fran Mérida,26,73,74,CA Osasuna,2016 ~ 2020,177cm,74kg,Left,€2.8M,Francisco Mérida Pérez,"Sep 20, 2017",FIFA 17
Tano Bonnin,26,73,75,CA Osasuna,2015 ~ 2018,186cm,76kg,Right,€2.9M,Cayetano Bonnin Vásquez,"Sep 20, 2017",FIFA 17
David Soria,23,73,81,Sevilla FC,2014 ~ 2019,192cm,85kg,Right,€3.7M,David Soria Solís,"Sep 20, 2017",FIFA 17
Bueno,28,73,73,CD Leganés,2015 ~ 2020,179cm,67kg,Right,€2.9M,Alberto Bueno Calvo,"Sep 20, 2017",FIFA 17
D. Machís,23,73,79,CD Leganés,"Jun 30, 2017 On Loan",174cm,70kg,Right,€3.9M,Darwin Machís,"Sep 20, 2017",FIFA 17
Bustinza,24,73,77,CD Leganés,2016 ~ 2019,175cm,75kg,Right,€3.2M,Unai Bustinza Martinez,"Sep 20, 2017",FIFA 17
Marín,19,73,82,CD Leganés,"Jun 30, 2017 On Loan",184cm,77kg,Left,€3.4M,Adrián Marín Gómez,"Sep 20, 2017",FIFA 17
P. Kone,28,73,73,Granada CF,"Jun 30, 2017 On Loan",182cm,74kg,Right,€2.9M,Panagiotis Kone,"Sep 20, 2017",FIFA 17
F. Tabanou,27,73,73,Granada CF,"Jun 30, 2017 On Loan",178cm,80kg,Left,€2.3M,Franck Tabanou,"Sep 20, 2017",FIFA 17
Sergi Samper,21,73,80,Granada CF,"Jun 30, 2017 On Loan",181cm,72kg,Right,€3.5M,Sergi Samper Montañá,"Sep 20, 2017",FIFA 17
Andreas Pereira,20,73,81,Granada CF,"Jun 30, 2017 On Loan",178cm,72kg,Right,€4.2M,Andreas Hugo Hoelgebaum Pereira,"Sep 20, 2017",FIFA 17
K. Stewart,22,72,78,Liverpool,2014 ~ 2021,182cm,76kg,Right,€2.5M,Kevin Stewart,"Sep 20, 2017",FIFA 17
A. Forshaw,24,72,77,Middlesbrough,2015 ~ 2020,185cm,71kg,Right,€2.8M,Adam Forshaw,"Sep 20, 2017",FIFA 17
A. King,27,72,72,Leicester City,2006 ~ 2020,183cm,75kg,Right,€2.1M,Andy King,"Sep 20, 2017",FIFA 17
D. Gray,20,72,84,Leicester City,2016 ~ 2020,179cm,66kg,Right,€3.7M,Demarai Gray,"Sep 20, 2017",FIFA 17
B. Oviedo,26,72,73,Sunderland,2017 ~ 2020,172cm,65kg,Left,€2M,Bryan Oviedo,"Sep 20, 2017",FIFA 17
P. McNair,21,72,81,Sunderland,2016 ~ 2020,183cm,72kg,Right,€2.9M,Paddy McNair,"Sep 20, 2017",FIFA 17
D. Marney,32,72,72,Burnley,2010 ~ 2018,183cm,72kg,Right,€1.6M,Dean Marney,"Sep 20, 2017",FIFA 17
S. Arfield,27,72,72,Burnley,2013 ~ 2018,178cm,70kg,Right,€2.1M,Scott Arfield,"Sep 20, 2017",FIFA 17
J. Tarkowski,23,72,77,Burnley,2016 ~ 2019,191cm,81kg,Right,€2.4M,James Tarkowski,"Sep 20, 2017",FIFA 17
J. Speroni,37,72,72,Crystal Palace,2004 ~ 2018,186cm,87kg,Right,€650K,Julián Speroni,"Sep 20, 2017",FIFA 17
B. Sako,28,72,72,Crystal Palace,2015 ~ 2018,184cm,90kg,Left,€2M,Bakary Sako,"Sep 20, 2017",FIFA 17
M. Pugh,29,72,72,AFC Bournemouth,2010 ~ 2018,180cm,72kg,Right,€2M,Marc Pugh,"Sep 20, 2017",FIFA 17
J. Stanislas,26,72,72,AFC Bournemouth,2014 ~ 2019,183cm,76kg,Right,€2.2M,Junior Stanislas,"Sep 20, 2017",FIFA 17
R. Fraser,22,72,80,AFC Bournemouth,2013 ~ 2020,163cm,62kg,Right,€3.1M,Ryan Fraser,"Sep 20, 2017",FIFA 17
M. Odubajo,22,72,79,Hull City,2015 ~ 2018,177cm,72kg,Right,€2.5M,Moses Odubajo,"Sep 20, 2017",FIFA 17
G. Cioni,32,72,72,SC Bastia,2006 ~ 2018,165cm,65kg,Right,€1.2M,Gilles Cioni,"Sep 20, 2017",FIFA 17
L. Nangis,22,72,81,SC Bastia,"Jun 30, 2017 On Loan",172cm,73kg,Right,€3.2M,Lenny Nangis,"Sep 20, 2017",FIFA 17
M. Gajić,20,72,78,FC Girondins de Bordeaux,2015 ~ 2020,178cm,75kg,Right,€2.5M,Milan Gajić,"Sep 20, 2017",FIFA 17
A. Ounas,19,72,82,FC Girondins de Bordeaux,2015 ~ 2021,172cm,65kg,Left,€3.1M,Adam Ounas,"Sep 20, 2017",FIFA 17
T. Giresse,35,72,72,En Avant de Guingamp,2009 ~ 2018,172cm,65kg,Left,€725K,Thibault Giresse,"Sep 20, 2017",FIFA 17
M. Diallo,30,72,72,En Avant de Guingamp,2009 ~ 2018,190cm,75kg,Right,€1.5M,Mustapha Diallo,"Sep 20, 2017",FIFA 17
N. Benezet,25,72,73,En Avant de Guingamp,2015 ~ 2019,172cm,61kg,Right,€2.4M,Nicolas Benezet,"Sep 20, 2017",FIFA 17
J. Ikoko,22,72,77,En Avant de Guingamp,2016 ~ 2019,177cm,60kg,Right,€2.4M,Jordan Ikoko,"Sep 20, 2017",FIFA 17
T. Didillon,20,72,85,FC Metz,2013 ~ 2020,193cm,84kg,Left,€3.7M,Thomas Didillon,"Sep 20, 2017",FIFA 17
Jorge,20,72,81,AS Monaco,2017 ~ 2021,184cm,60kg,Left,€2.8M,Jorge Marco de Oliveira Morais,"Sep 20, 2017",FIFA 17
O. Vizcarrondo,32,72,72,FC Nantes,2013 ~ 2018,191cm,85kg,Right,€1.2M,Oswaldo Vizcarrondo,"Sep 20, 2017",FIFA 17
Lucas Lima,24,72,76,FC Nantes,2016 ~ 2020,178cm,72kg,Left,€2.3M,Lucas Pedro Alves de Lima,"Sep 20, 2017",FIFA 17
L. Dubois,21,72,79,FC Nantes,2013 ~ 2018,178cm,65kg,Right,€2.5M,Léo Dubois,"Sep 20, 2017",FIFA 17
M. Le Bihan,26,72,73,OGC Nice,2015 ~ 2019,184cm,80kg,Right,€2.5M,Mickaël Le Bihan,"Sep 20, 2017",FIFA 17
J. Augustin,19,72,81,Paris Saint-Germain,2014 ~ 2018,177cm,69kg,Right,€3M,Jean-Kévin Augustin,"Sep 20, 2017",FIFA 17
A. Yahia,34,72,72,Stade Malherbe Caen,2014 ~ 2022,187cm,81kg,Right,€650K,Alaeddine Yahia,"Sep 20, 2017",FIFA 17
E. Imorou,27,72,72,Stade Malherbe Caen,2014 ~ 2019,181cm,78kg,Left,€1.7M,Emmanuel Imorou,"Sep 20, 2017",FIFA 17
H. Bazile,26,72,72,Stade Malherbe Caen,2014 ~ 2018,180cm,73kg,Left,€2.2M,Hervé Bazile,"Sep 20, 2017",FIFA 17
I. Diomandé,23,72,77,Stade Malherbe Caen,2010 ~ 2019,183cm,82kg,Right,€2.4M,Ismaël Diomandé,"Sep 20, 2017",FIFA 17
S. Ben Youssef,27,72,73,Stade Malherbe Caen,2015 ~ 2018,189cm,82kg,Right,€2M,Syam Ben Youssef,"Sep 20, 2017",FIFA 17
M. Ciani,32,72,72,FC Lorient,2017 ~ 2021,192cm,88kg,Right,€1.2M,Michaël Ciani,"Sep 20, 2017",FIFA 17
W. Lautoa,28,72,72,FC Lorient,2012 ~ 2018,184cm,87kg,Left,€1.7M,Wesley Lautoa,"Sep 20, 2017",FIFA 17
A. Diaby,30,72,72,Olympique de Marseille,2015 ~ 2017,191cm,75kg,Right,€1.5M,Abou Diaby,"Sep 20, 2017",FIFA 17
I. Cissokho,31,72,72,Angers SCO,2017 ~ 2021,173cm,73kg,Right,€1.3M,Issa Cissokho,"Sep 20, 2017",FIFA 17
B. Santamaria,21,72,79,Angers SCO,2016 ~ 2020,183cm,73kg,Right,€2.6M,Baptiste Santamaria,"Sep 20, 2017",FIFA 17
F. Diedhiou,24,72,76,Angers SCO,2016 ~ 2020,189cm,80kg,Right,€2.8M,Famara Diedhiou,"Sep 20, 2017",FIFA 17
Somália,27,72,72,Toulouse Football Club,2015 ~ 2019,180cm,73kg,Right,€1.7M,Calmon Wergiton do Rosário,"Sep 20, 2017",FIFA 17
Y. Bodiger,21,72,79,Toulouse Football Club,2014 ~ 2020,188cm,80kg,Left,€2.6M,Yann Bodiger,"Sep 20, 2017",FIFA 17
L. Lacroix,24,72,77,AS Saint-Étienne,2016 ~ 2020,197cm,92kg,Right,€2.4M,Léo Lacroix,"Sep 20, 2017",FIFA 17
B. Corgnet,29,72,72,AS Saint-Étienne,2013 ~ 2017,180cm,74kg,Right,€2M,Benjamin Corgnet,"Sep 20, 2017",FIFA 17
A. Søderlund,28,72,72,AS Saint-Étienne,2016 ~ 2019,187cm,86kg,Right,€2.1M,Alexander Søderlund,"Sep 20, 2017",FIFA 17
B. Pedretti,35,72,72,AS Nancy Lorraine,2015 ~ 2018,178cm,72kg,Right,€350K,Benoît Pedretti,"Sep 20, 2017",FIFA 17
A. Diarra,34,72,72,AS Nancy Lorraine,2016 ~ 2022,190cm,79kg,Right,€650K,Alou Diarra,"Sep 20, 2017",FIFA 17
I. Dia,29,72,72,AS Nancy Lorraine,2016 ~ 2017,167cm,62kg,Right,€2M,Issiar Dia,"Sep 20, 2017",FIFA 17
G. Ndy Assembe,30,72,72,AS Nancy Lorraine,2011 ~ 2019,184cm,79kg,Right,€1.7M,Guy-Roland Ndy Assembe,"Sep 20, 2017",FIFA 17
J. Cétout,28,72,72,AS Nancy Lorraine,2014 ~ 2019,183cm,74kg,Right,€1.6M,Julien Cétout,"Sep 20, 2017",FIFA 17
Y. Ait Bennasser,19,72,82,AS Nancy Lorraine,"Jun 30, 2017 On Loan",184cm,72kg,Right,€3M,Youssef Ait Bennasser,"Sep 20, 2017",FIFA 17
M. Martin,28,72,72,Dijon FCO,"Jun 30, 2017 On Loan",171cm,68kg,Right,€2.1M,Marvin Martin,"Sep 20, 2017",FIFA 17
F. Chafik,29,72,72,Dijon FCO,2016 ~ 2020,183cm,72kg,Right,€1.6M,Fouad Chafik,"Sep 20, 2017",FIFA 17
A. Ignjovski,25,72,74,Sport-Club Freiburg,2016 ~ 2019,175cm,71kg,Right,€2.1M,Aleksandar Ignjovski,"Sep 20, 2017",FIFA 17
R. Gikiewicz,28,72,73,Sport-Club Freiburg,2016 ~ 2019,190cm,81kg,Right,€2.1M,Rafał Gikiewicz,"Sep 20, 2017",FIFA 17
A. Abrashi,26,72,73,Sport-Club Freiburg,2015 ~ 2020,172cm,71kg,Right,€2M,Amir Abrashi,"Sep 20, 2017",FIFA 17
C. Günter,23,72,75,Sport-Club Freiburg,2012 ~ 2019,185cm,80kg,Left,€2.2M,Christian Günter,"Sep 20, 2017",FIFA 17
M. Gregoritsch,22,72,79,Hamburger SV,2015 ~ 2019,193cm,87kg,Left,€3M,Michael Gregoritsch,"Sep 20, 2017",FIFA 17
D. da Costa,22,72,77,Bayer 04 Leverkusen,2016 ~ 2018,187cm,85kg,Right,€2.4M,Danny da Costa,"Sep 20, 2017",FIFA 17
S. Riether,33,72,72,FC Schalke 04,2015 ~ 2017,174cm,70kg,Right,€900K,Sascha Riether,"Sep 20, 2017",FIFA 17
D. Avdijaj,19,72,84,FC Schalke 04,2014 ~ 2019,172cm,70kg,Right,€3.5M,Donis Avdijaj,"Sep 20, 2017",FIFA 17
I. Hajrović,24,72,73,SV Werder Bremen,2014 ~ 2018,177cm,71kg,Left,€2.5M,Izet Hajrović,"Sep 20, 2017",FIFA 17
